name,layer,id,glottocode,year,map_name_full,tessellate,extrude,visibility,Family,Dialect,description
Dhuwal,Central,258,dhuw1249,traditional,Files for Australian Language Locations,1,0,-1,,,
Dhuwala,Central,259,dhuw1250,traditional,Files for Australian Language Locations,1,0,-1,,,
Dhay'yi,Central,261,dayi1244,traditional,Files for Australian Language Locations,1,0,-1,,,
Wiradjuri,Central-NSW,262,wira1262,traditional,Files for Australian Language Locations,1,0,-1,,,
Ngiyambaa,Central-NSW,263,wang1291,traditional,Files for Australian Language Locations,1,0,-1,,,
Yuwaliyaay,Central-NSW,264,gami1243,traditional,Files for Australian Language Locations,1,0,-1,,,
Gamilaraay,Central-NSW,265,gami1243,traditional,Files for Australian Language Locations,1,0,-1,,,
Yuwaalaraay,Central-NSW,266,yuwa1242,traditional,Files for Australian Language Locations,1,0,-1,,,
Limilngan,Darwin Region,268,nucl1327,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Wailwan,Central-NSW,269,wayi1238,traditional,Files for Australian Language Locations,1,0,-1,,,Treated by Donaldson as the Northern dialect of Ngiyambaa
Dharumbal,Dharumbal,270,dhar1248,traditional,Files for Australian Language Locations,1,0,-1,,,Distant sister to Mbabaram in BBA 2018
Batjjamalh,Anson Bay,272,wadj1254,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Alyawarr,Arandic,273,alya1239,traditional,Files for Australian Language Locations,1,0,-1,,,
Anmatyerr,Arandic,274,anma1239,traditional,Files for Australian Language Locations,1,0,-1,,y,
Ayerreyenge,Arandic,275,ayer1246,traditional,Files for Australian Language Locations,1,0,-1,,,
Antekerrepenhe,Arandic,276,ande1247,traditional,Files for Australian Language Locations,1,0,-1,,,
Lower Aranda,Arandic,277,lowe1436,traditional,Files for Australian Language Locations,1,0,-1,,,
Kaytetye,Arandic,278,kayt1238,traditional,Files for Australian Language Locations,1,0,-1,,,
Western Arrarnta,Arandic,279,west2441,traditional,Files for Australian Language Locations,1,0,-1,,,
Central Arrernte,Arandic,280,east2379,traditional,Files for Australian Language Locations,1,0,-1,,,
Eastern Arrernte,Arandic,282,east2379,traditional,Files for Australian Language Locations,1,0,-1,,y,
Yugambal,Bigambalic,285,yuga1244,traditional,Files for Australian Language Locations,1,0,-1,,,
Bigambal,Bigambalic,286,biga1237,traditional,Files for Australian Language Locations,1,0,-1,,,
Purduna,Kanyara,287,burd1238,traditional,Files for Australian Language Locations,1,0,-1,,,
Pinikura,Kanyara,288,pini1244,traditional,Files for Australian Language Locations,1,0,-1,,,
Thalanyji,Kanyara,289,dhal1245,traditional,Files for Australian Language Locations,1,0,-1,,,
Payungu,Kanyara,290,bayu1240,traditional,Files for Australian Language Locations,1,0,-1,,,
Pitta-Pitta,Karnic,291,pitt1247,traditional,Files for Australian Language Locations,1,0,-1,,,
Mayawali,Karnic,293,pitt1247,traditional,Files for Australian Language Locations,1,0,-1,,,
Wangkayutyuru,Karnic,294,wang1289,traditional,Files for Australian Language Locations,1,0,-1,,,
Mithaka,Karnic,295,mith1236,traditional,Files for Australian Language Locations,1,0,-1,,,
Karuwali,Karnic,296,karr1236,traditional,Files for Australian Language Locations,1,0,-1,,,
Karangura,Karnic,297,ngam1265,traditional,Files for Australian Language Locations,1,0,-1,,,
Wangkangurru,Karnic,298,wang1290,traditional,Files for Australian Language Locations,1,0,-1,,y,
Garlali,Karnic,299,kala1380,traditional,Files for Australian Language Locations,1,0,-1,,,
Yandruwandha,Karnic,300,yand1253,traditional,Files for Australian Language Locations,1,0,-1,,,
Yanda,Karnic,301,yand1251,traditional,Files for Australian Language Locations,1,0,-1,,,
Guwa,Karnic,302,guwa1242,traditional,Files for Australian Language Locations,1,0,-1,,,
Mawng,Iwaidjan,303,maun1240,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Iwaidja,Iwaidjan,304,iwai1244,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Marrgu,Iwaidjan,305,marg1251,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
